,Year,Country Name,GDP Growth (%),GDP per capita (US$),GDP per capita growth (%),Inflation (%),Unemployment (%),Health expenditure (% of GDP),Life expectancy (years),Population,HDI,Status
86,2003,Italy,0.15,27387.23,-0.29,2.68,8.87,8.17,79.98,57313203.0,0.846,Developed
84,2003,Brazil,1.14,3059.59,-0.15,14.72,13.68,6.94,71.24,182482149.0,0.695,Developing
83,2003,Iran,8.64,2231.34,7.33,16.47,12.19,5.42,71.25,68812713.0,0.686,Developing
90,2004,Norway,3.96,57570.27,3.35,0.47,4.26,9.44,79.84,4591910.0,0.929,Developed
95,2004,France,2.79,33874.74,2.03,2.13,9.4,10.53,80.16,62704897.0,0.86,Developed
96,2004,Italy,1.58,31174.56,0.93,2.22,7.87,8.49,80.78,57685327.0,0.851,Developed
95,2004,South Africa,4.55,4863.52,3.26,1.39,24.67,7.93,52.88,47001700.99,0.609,Developing
98,2004,Canada,3.09,31979.87,2.06,1.86,7.2,9.56,80.14,31995000.0,0.886,Developed
93,2004,Switzerland,2.84,53255.98,2.14,0.8,4.32,10.96,81.09,7389625.0,0.899,Developed
92,2004,India,7.92,621.32,6.19,3.77,3.89,4.22,64.16,1126135777.0,0.526,Developing
90,2004,Egypt,4.09,1045.94,2.16,11.27,10.3,5.21,69.26,75381899.0,0.629,Developing
99,2004,Thailand,6.29,2659.84,5.56,2.76,1.51,3.51,71.76,65002231.0,0.682,Developing
96,2004,Mexico,4.3,7199.06,2.97,4.69,3.66,6.11,75.12,106995583.0,0.719,Developing
94,2004,United States,3.79,41921.81,2.83,2.68,5.5,15.14,77.49,292805298.0,0.895,Developed
94,2004,Brazil,5.76,3623.05,4.47,6.6,12.87,7.07,71.62,184738458.0,0.694,Developing
92,2004,Germany,1.17,34165.93,1.19,1.67,10.73,10.37,78.68,82516260.0,0.884,Developed
91,2004,Australia,4.15,30472.38,2.95,2.34,5.39,8.57,80.49,20127400.0,0.91,Developed
93,2004,Iran,4.34,2638.68,3.13,14.76,10.3,5.89,71.59,69617100.0,0.687,Developing
99,2004,Austria,2.71,36693.4,2.07,2.06,5.83,10.56,79.18,8171966.0,0.848,Developed
97,2004,Sweden,4.32,42442.22,3.91,0.37,6.69,9.09,80.5,8993531.0,0.89,Developed
98,2004,Morocco,4.8,1948.81,3.56,1.49,10.83,5.22,70.81,30179285.0,0.569,Developing
91,2004,Turkey,9.64,6040.73,8.14,10.58,10.84,5.37,72.03,67007855.0,0.681,Developing
97,2004,China,10.11,1508.67,9.46,3.88,4.3,4.72,73.67,1296075000.0,0.634,Developing
107,2005,China,11.4,1753.42,10.74,1.82,4.14,4.66,74.02,1303720000.0,0.646,Developing
101,2005,Australia,3.2,34016.71,1.85,2.67,5.03,8.45,80.84,20394800.0,0.915,Developed
108,2005,Canada,3.2,36189.59,2.19,2.21,6.8,9.57,80.29,32312000.0,0.891,Developed
