,tweet_id,tweet_date,tweet_url,retweet_count,favorite_count,name,dog_stage,dog_gender,rating_numerator,rating_denominator,jpg_url,prediction,confidence
21,687826841265172480,2016-01-15 02:41:12,"https://twitter.com/dog_rates/status/687826841265172480/photo/1,https://twitter.com/dog_rates/status/687826841265172480/photo/1,https://twitter.com/dog_rates/status/687826841265172480/photo/1,https://twitter.com/dog_rates/status/687826841265172480/photo/1",1263,2944,Louis,NaN,M,12.0,10.0,https://pbs.twimg.com/media/CYum3KbWEAArFrI.jpg,Pomeranian,0.99721
22,687109925361856513,2016-01-13 03:12:26,"https://twitter.com/dog_rates/status/687109925361856513/photo/1,https://twitter.com/dog_rates/status/687109925361856513/photo/1,https://twitter.com/dog_rates/status/687109925361856513/photo/1",2757,6277,Baxter,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYka1NTWMAAOclP.jpg,Borzoi,0.883086
23,688064179421470721,2016-01-15 18:24:18,https://twitter.com/dog_rates/status/688064179421470721/photo/1,401,1853,Kilo,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CYx-tGaUoAAEXV8.jpg,Eskimo Dog,0.240602
24,685663452032069632,2016-01-09 03:24:40,https://twitter.com/dog_rates/status/685663452032069632/video/1,1627,3507,Brooks,NaN,M,12.0,10.0,https://pbs.twimg.com/ext_tw_video_thumb/685663358637486080/pu/img/3cXSHFZAgJQ_dDCf.jpg,Chesapeake Bay Retriever,0.171174
25,685325112850124800,2016-01-08 05:00:14,https://twitter.com/dog_rates/status/685325112850124800/photo/1,4447,10293,,NaN,NaN,10.0,10.0,https://pbs.twimg.com/media/CYLDikFWEAAIy1y.jpg,Golden Retriever,0.586937
26,683742671509258241,2016-01-03 20:12:10,https://twitter.com/dog_rates/status/683742671509258241/photo/1,3720,7054,Sebastian,NaN,M,11.0,10.0,https://pbs.twimg.com/media/CX0kVRxWYAAWWZi.jpg,Pembroke,0.895279
27,683773439333797890,2016-01-03 22:14:26,https://twitter.com/dog_rates/status/683773439333797890/photo/1,1507,3624,Buddy,NaN,M,9.0,10.0,https://pbs.twimg.com/media/CX1AUQ2UAAAC6s-.jpg,Miniature Pinscher,0.0728852
28,683849932751646720,2016-01-04 03:18:23,https://twitter.com/dog_rates/status/683849932751646720/photo/1,1097,2832,Jiminy,NaN,M,5.0,10.0,https://pbs.twimg.com/media/CX2F4qNUQAAR6Cm.jpg,Mexican Hairless,0.164906
29,683852578183077888,2016-01-04 03:28:54,https://twitter.com/dog_rates/status/683852578183077888/photo/1,394,2080,Tiger,NaN,M,10.0,10.0,https://pbs.twimg.com/media/CX2ISqSWYAAEtCF.jpg,Toy Poodle,0.5513520000000001
30,683857920510050305,2016-01-04 03:50:08,https://twitter.com/dog_rates/status/683857920510050305/photo/1,1239,4102,Sadie,NaN,F,10.0,10.0,https://pbs.twimg.com/media/CX2NJmRWYAAxz_5.jpg,Bluetick,0.174738
