,tweet_id,retweet_count,favorite_count,created_at
159,860184849394610176,6200,17246,Thu May 04 17:30:24 +0000 2017
160,860177593139703809,32761,0,Thu May 04 17:01:34 +0000 2017
161,859924526012018688,4273,19773,Thu May 04 00:15:58 +0000 2017
162,859851578198683649,3718,15918,Wed May 03 19:26:06 +0000 2017
163,859607811541651456,1672,19240,Wed May 03 03:17:27 +0000 2017
164,859196978902773760,32191,93337,Tue May 02 00:04:57 +0000 2017
165,859074603037188101,14479,35128,Mon May 01 15:58:40 +0000 2017
166,858860390427611136,8651,0,Mon May 01 01:47:28 +0000 2017
167,858843525470990336,3697,16110,Mon May 01 00:40:27 +0000 2017
168,858471635011153920,5163,22316,Sun Apr 30 00:02:42 +0000 2017
169,858107933456039936,3100,16318,Fri Apr 28 23:57:28 +0000 2017
170,857989990357356544,2756,16738,Fri Apr 28 16:08:49 +0000 2017
171,857746408056729600,11309,35570,Fri Apr 28 00:00:54 +0000 2017
172,857393404942143489,1744,6145,Thu Apr 27 00:38:11 +0000 2017
173,857263160327368704,4835,20766,Wed Apr 26 16:00:39 +0000 2017
174,857214891891077121,20,240,Wed Apr 26 12:48:51 +0000 2017
175,857062103051644929,181,0,Wed Apr 26 02:41:43 +0000 2017
176,857029823797047296,4283,19660,Wed Apr 26 00:33:27 +0000 2017
177,856602993587888130,11429,0,Mon Apr 24 20:17:23 +0000 2017
178,856543823941562368,3082,16941,Mon Apr 24 16:22:16 +0000 2017
179,856526610513747968,2018,12304,Mon Apr 24 15:13:52 +0000 2017
180,856330835276025856,722,0,Mon Apr 24 02:15:55 +0000 2017
181,856288084350160898,17,534,Sun Apr 23 23:26:03 +0000 2017
182,856282028240666624,6734,28750,Sun Apr 23 23:01:59 +0000 2017
183,855862651834028034,28,361,Sat Apr 22 19:15:32 +0000 2017
184,855860136149123072,1102,5009,Sat Apr 22 19:05:32 +0000 2017
185,855857698524602368,2273,12339,Sat Apr 22 18:55:51 +0000 2017
186,855851453814013952,18899,47274,Sat Apr 22 18:31:02 +0000 2017
187,855818117272018944,5840,27717,Sat Apr 22 16:18:34 +0000 2017
188,855459453768019968,8849,31270,Fri Apr 21 16:33:22 +0000 2017
189,855245323840757760,6437,0,Fri Apr 21 02:22:29 +0000 2017
190,855138241867124737,49,0,Thu Apr 20 19:16:59 +0000 2017
191,854732716440526848,6563,23894,Wed Apr 19 16:25:34 +0000 2017
192,854482394044301312,7440,30707,Tue Apr 18 23:50:52 +0000 2017
193,854365224396361728,5062,19776,Tue Apr 18 16:05:17 +0000 2017
194,854120357044912130,8127,33447,Mon Apr 17 23:52:16 +0000 2017
195,854010172552949760,3387,16954,Mon Apr 17 16:34:26 +0000 2017
196,853760880890318849,6274,30032,Mon Apr 17 00:03:50 +0000 2017
197,853639147608842240,11038,36670,Sun Apr 16 16:00:07 +0000 2017
198,853299958564483072,3858,16311,Sat Apr 15 17:32:18 +0000 2017
199,852936405516943360,2190,0,Fri Apr 14 17:27:40 +0000 2017
200,852912242202992640,2000,9497,Fri Apr 14 15:51:39 +0000 2017
201,852672615818899456,2332,15707,Thu Apr 13 23:59:28 +0000 2017
202,852553447878664193,3817,17262,Thu Apr 13 16:05:56 +0000 2017
203,852311364735569921,10770,34881,Thu Apr 13 00:03:59 +0000 2017
204,852226086759018497,7430,21077,Wed Apr 12 18:25:07 +0000 2017
205,852189679701164033,1717,12066,Wed Apr 12 16:00:27 +0000 2017
206,851953902622658560,10497,0,Wed Apr 12 00:23:33 +0000 2017
207,851861385021730816,23,0,Tue Apr 11 18:15:55 +0000 2017
208,851591660324737024,3771,17093,Tue Apr 11 00:24:08 +0000 2017
209,851464819735769094,7709,25637,Mon Apr 10 16:00:07 +0000 2017
210,851224888060895234,6242,21818,Mon Apr 10 00:06:42 +0000 2017
211,850753642995093505,10163,32892,Sat Apr 08 16:54:09 +0000 2017
212,850380195714523136,2856,13810,Fri Apr 07 16:10:12 +0000 2017
213,850333567704068097,362,3605,Fri Apr 07 13:04:55 +0000 2017
214,850145622816686080,4171,17298,Fri Apr 07 00:38:06 +0000 2017
215,850019790995546112,5364,21661,Thu Apr 06 16:18:05 +0000 2017
216,849776966551130114,8330,32295,Thu Apr 06 00:13:11 +0000 2017
217,849668094696017920,5422,0,Wed Apr 05 17:00:34 +0000 2017
218,849412302885593088,3431,16828,Wed Apr 05 00:04:08 +0000 2017
219,849336543269576704,2067,12103,Tue Apr 04 19:03:06 +0000 2017
220,849051919805034497,9315,44580,Tue Apr 04 00:12:06 +0000 2017
221,848690551926992896,4735,26757,Mon Apr 03 00:16:10 +0000 2017
222,848324959059550208,5045,26295,Sun Apr 02 00:03:26 +0000 2017
223,848213670039564288,818,8696,Sat Apr 01 16:41:12 +0000 2017
224,848212111729840128,3378,17372,Sat Apr 01 16:35:01 +0000 2017
225,847978865427394560,3582,0,Sat Apr 01 01:08:10 +0000 2017
226,847971574464610304,471,0,Sat Apr 01 00:39:12 +0000 2017
227,847962785489326080,5640,24964,Sat Apr 01 00:04:17 +0000 2017
228,847842811428974592,1485,5850,Fri Mar 31 16:07:33 +0000 2017
229,847617282490613760,459,7454,Fri Mar 31 01:11:22 +0000 2017
230,847606175596138505,3707,19932,Fri Mar 31 00:27:14 +0000 2017
231,847251039262605312,4709,21721,Thu Mar 30 00:56:03 +0000 2017
232,847157206088847362,6446,21274,Wed Mar 29 18:43:12 +0000 2017
233,847116187444137987,3513,22803,Wed Mar 29 16:00:12 +0000 2017
234,846874817362120707,4330,21391,Wed Mar 29 00:01:05 +0000 2017
235,846514051647705089,12806,47678,Tue Mar 28 00:07:32 +0000 2017
236,846505985330044928,3416,15090,Mon Mar 27 23:35:28 +0000 2017
237,846153765933735936,10007,33893,Mon Mar 27 00:15:53 +0000 2017
238,846139713627017216,10788,32820,Sun Mar 26 23:20:02 +0000 2017
239,846042936437604353,3171,17057,Sun Mar 26 16:55:29 +0000 2017
240,845812042753855489,9671,31261,Sun Mar 26 01:38:00 +0000 2017
241,845677943972139009,5267,26793,Sat Mar 25 16:45:08 +0000 2017
242,845459076796616705,14761,0,Sat Mar 25 02:15:26 +0000 2017
243,845397057150107648,2026,8136,Fri Mar 24 22:08:59 +0000 2017
244,845306882940190720,5941,24907,Fri Mar 24 16:10:40 +0000 2017
245,845098359547420673,8485,0,Fri Mar 24 02:22:04 +0000 2017
246,844979544864018432,2855,14548,Thu Mar 23 18:29:57 +0000 2017
247,844973813909606400,3546,16155,Thu Mar 23 18:07:10 +0000 2017
248,844704788403113984,11429,41418,Thu Mar 23 00:18:10 +0000 2017
249,844580511645339650,3467,17608,Wed Mar 22 16:04:20 +0000 2017
250,844223788422217728,2418,14571,Tue Mar 21 16:26:50 +0000 2017
251,843981021012017153,3221,16124,Tue Mar 21 00:22:10 +0000 2017
252,843856843873095681,5132,22895,Mon Mar 20 16:08:44 +0000 2017
253,843604394117681152,3026,18072,Sun Mar 19 23:25:35 +0000 2017
254,843235543001513987,6717,23014,Sat Mar 18 22:59:54 +0000 2017
255,842846295480000512,3946,16258,Fri Mar 17 21:13:10 +0000 2017
256,842765311967449089,1417,7222,Fri Mar 17 15:51:22 +0000 2017
257,842535590457499648,3865,19364,Fri Mar 17 00:38:32 +0000 2017
258,842163532590374912,6437,26238,Thu Mar 16 00:00:07 +0000 2017
259,842115215311396866,3335,15020,Wed Mar 15 20:48:07 +0000 2017
260,841833993020538882,17104,0,Wed Mar 15 02:10:39 +0000 2017
261,841680585030541313,8600,27480,Tue Mar 14 16:01:03 +0000 2017
262,841439858740625411,4092,13565,Tue Mar 14 00:04:30 +0000 2017
263,841320156043304961,6002,21145,Mon Mar 13 16:08:50 +0000 2017
264,841314665196081154,5218,17033,Mon Mar 13 15:47:01 +0000 2017
265,841077006473256960,5881,24583,Mon Mar 13 00:02:39 +0000 2017
266,840761248237133825,1944,0,Sun Mar 12 03:07:56 +0000 2017
267,840728873075638272,17954,0,Sun Mar 12 00:59:17 +0000 2017
268,840698636975636481,3,195,Sat Mar 11 22:59:09 +0000 2017
269,840696689258311684,1097,13210,Sat Mar 11 22:51:24 +0000 2017
270,840632337062862849,1944,9644,Sat Mar 11 18:35:42 +0000 2017
271,840370681858686976,5061,17687,Sat Mar 11 01:15:58 +0000 2017
272,840268004936019968,6369,20696,Fri Mar 10 18:27:58 +0000 2017
273,839990271299457024,2549,14425,Fri Mar 10 00:04:21 +0000 2017
274,839549326359670784,8651,29580,Wed Mar 08 18:52:12 +0000 2017
275,839290600511926273,157,0,Wed Mar 08 01:44:07 +0000 2017
276,839239871831150596,7294,29256,Tue Mar 07 22:22:32 +0000 2017
277,838952994649550848,4435,21077,Tue Mar 07 03:22:35 +0000 2017
278,838921590096166913,2309,12023,Tue Mar 07 01:17:48 +0000 2017
279,838916489579200512,37,0,Tue Mar 07 00:57:32 +0000 2017
280,838831947270979586,12361,0,Mon Mar 06 19:21:35 +0000 2017
281,838561493054533637,1477,11736,Mon Mar 06 01:26:54 +0000 2017
282,838476387338051585,5379,24323,Sun Mar 05 19:48:43 +0000 2017
283,838201503651401729,11276,0,Sun Mar 05 01:36:26 +0000 2017
284,838150277551247360,361,1804,Sat Mar 04 22:12:52 +0000 2017
285,838085839343206401,0,148,Sat Mar 04 17:56:49 +0000 2017
286,838083903487373313,3507,18955,Sat Mar 04 17:49:08 +0000 2017
287,837820167694528512,8767,36824,Sat Mar 04 00:21:08 +0000 2017
288,837482249356513284,490,4147,Fri Mar 03 01:58:22 +0000 2017
